elyas.mousaie@gmail.com,dsada,ADadADadADd
elyas.mousaie@gmail.com,dsada,ADadADadADd
a@a,dsada,ADadADadADd
a@aasDASDADS,ELIAS,MOUSAIE
a@aaADSASDASDGAGAGAGA,ASDAD,MOUSAIEAFAFAFA
a@aaADSASDASDGAGAGAGA,ASGASGASGAGAG,"ELIAS,OUSASADFAF"
a@aaADSASDASDGAGAGAGA,ASGASGASGAGAG,|,ASFNLANSFASFL
a@aaADSASDASDGAGAGAGA,ASGASGASGAGAG,ALEIKOMASAF

elyas.mousaie@gmail.com,1,100000000000
elyas.mousaie@gmail.com,1,|100,1000,1000|
elyas.mousaie@gmail.com,1,:100,1000,1000:
elyas.mousaie@gmail.com^1^100,1000,1000
elyas.mousaie@gmail.com^1^:100,1000,1000^XGSDG:
elyas.mousaie@gmail.com,2,ADAFGGG
elyas.mousaie@gmail.com,2,|ADAFGGG,SS,DDD GGGJ|
elyas.mousaie@gmail.com,2,|ADAFGGG,SS,DDD GGGJ|
elyas.mousaie@gmail.com,3,|ADAFGGG,SS,DDD GGGJ|
elyas.mousaie@gmail.com,4,|ADAFGGG||hjj|
elyas.mousaie@gmail.com&4&|ADAFGGG||hjj|
elyas.mousaie@gmail.com,4,|ADAFGGG||hjj|
